method,eps,alpha,k,trial,seed,wall_sec,frob_resid_noisy,mahal_resid_noisy,frob_err_true,mahal_err_true,rel_frob_err_true,fms
ALS,0.01,1.01,5,0,1015,0.03343796730041504,0.19005309016635863,0.04173983593391934,0.19357489989921967,0.043220709577346805,0.46590722442721577,0.676621056785859
Oracle-AMDM,0.01,1.01,5,0,1015,0.04343891143798828,0.20701542636503495,0.04916511744267731,0.19166081237212804,0.04201528422282988,0.4613002882618229,0.687779124361471
AMDM,0.01,1.01,5,0,1015,0.03994488716125488,0.038454395413922815,0.0017040519443531994,0.05000278422444748,0.0028339355847912433,0.12034958263583848,0.9946956674975237
ALS,0.01,1.01,5,1,102030,0.032140254974365234,0.026624916625561244,0.000822819073154252,0.02590293574596425,0.0007709679343025856,0.06234562620641365,0.9982846340486653
Oracle-AMDM,0.01,1.01,5,1,102030,0.04279685020446777,0.026632265727895774,0.000821808253536228,0.025947548209932624,0.0007733199664813502,0.06245300368786969,0.9982896703071926
AMDM,0.01,1.01,5,1,102030,0.04004502296447754,0.026681684918267973,0.0008261266964618626,0.025407439730205005,0.000741685822637346,0.06115301971237538,0.9983651137854747
ALS,0.01,1.01,5,2,303045,0.031794071197509766,0.023992943489443287,0.0006743647605067348,0.03291506916913654,0.0012811517135759842,0.0792255285896747,0.996998185881977
Oracle-AMDM,0.01,1.01,5,2,303045,0.04266500473022461,0.024001068691974572,0.0006736178732770297,0.03271058696203376,0.0012649418238219125,0.07873334639611297,0.9970446803331887
AMDM,0.01,1.01,5,2,303045,0.039875030517578125,0.024123932233707072,0.0006798792332688395,0.032380333418835165,0.0012398445496148906,0.07793843658158173,0.9971018441178561
ALS,0.01,1.01,5,3,604060,0.0316619873046875,0.19213396602296517,0.04256263437676108,0.19276342134199353,0.04282359890776466,0.46401617022049785,0.7597502976892916
Oracle-AMDM,0.01,1.01,5,3,604060,0.04227304458618164,0.04436148655502344,0.0022996925389079585,0.03989464376341178,0.0018279447284113824,0.09603357152790178,0.99609771370018
AMDM,0.01,1.01,5,3,604060,0.03982400894165039,0.044772475667544484,0.002347686386639326,0.03756839061257936,0.0016151698936327015,0.09043386246226136,0.9965615952658521
ALS,0.01,1.01,5,4,1005075,0.031852006912231445,0.03565119871691506,0.0014492239345533342,0.03193932215727289,0.0011889486576487237,0.07687472143736669,0.9971184990467401
Oracle-AMDM,0.01,1.01,5,4,1005075,0.04245400428771973,0.18917070893633722,0.04143989445270627,0.1890827124263679,0.041353099890324825,0.4551029848042292,0.6925473096604104
AMDM,0.01,1.01,5,4,1005075,0.039895057678222656,0.03579869334014673,0.0014650655083062781,0.03265743031018175,0.0012399033708987918,0.07860313520723125,0.9969759910431968
ALS,0.01,1.01,10,0,1006095,0.03166699409484863,0.027461410924387954,0.0008848647427620638,0.028911238994538527,0.0009622854917677674,0.06958432081965389,0.9976967531286445
Oracle-AMDM,0.01,1.01,10,0,1006095,0.04272007942199707,0.027480241562608157,0.0008833185477598923,0.029429951327374918,0.0009972716371586803,0.0708327711329738,0.9976165752812509
AMDM,0.01,1.01,10,0,1006095,0.03969717025756836,0.02758544653208809,0.0008899904443788582,0.02908805813667913,0.0009744531523491792,0.07000989372284534,0.9976695558970752
ALS,0.01,1.01,10,1,1107115,0.03219294548034668,0.179760988357696,0.03927096915293292,0.18197919406567087,0.04025607207413122,0.437864960625699,0.791678518062327
Oracle-AMDM,0.01,1.01,10,1,1107115,0.044775962829589844,0.017062116005462185,0.0003287954021401798,0.01318480810352941,0.00020340070467179117,0.031724316127182864,0.9995779001403621
AMDM,0.01,1.01,10,1,1107115,0.039357900619506836,0.01706878801032221,0.0003291305590172127,0.01328375664535574,0.00020646140956027335,0.03196239883544632,0.9995709782879336
ALS,0.01,1.01,10,2,1308135,0.0321500301361084,0.017819865225247533,0.00036635276477613095,0.01687293575929861,0.0003375712040056763,0.04061898087586166,0.9992049651989087
